#
# $Id: adxectivos.txt,v 1.4 2007/10/03 07:03:01 fmendez Exp $
# $Name:  $
#	
aaronita,M,S
abocelados,M,P,abocelado
abocetada,F,S,abocetado
abocetadas,F,P,abocetado
abocetado,M,S,abocetado
abocetados,M,P,abocetado
abochornada,F,S,abochornado
abochornadas,F,P,abochornado
abochornado,M,S,abochornado
abochornados,M,P,abochornado
abocinada,F,S,abocinado
abocinadas,F,P,abocinado
abocinado,M,S,abocinado
abocinados,M,P,abocinado
abofada,F,S,abofado
abofadas,F,P,abofado
abofado,M,S,abofado
abofados,M,P,abofado
abofeteador,M,S,abofeteador
abofeteadora,F,S,abofeteador
abofeteadoras,F,P,abofeteador
abofeteadores,M,P,abofeteador
abogadesca,F,S,abogadesco
abogadescas,F,P,abogadesco
abogadesco,M,S,abogadesco
abogadescos,M,P,abogadesco
abogadil,A,S,abogadil
abogadiles,A,P,abogadil
abogador,M,S,abogador
abogadora,F,S,abogador
abogadoras,F,P,abogador
abogadores,M,P,abogador
abohetada,F,S,abohetado
abohetadas,F,P,abohetado
abohetado,M,S,abohetado
abohetados,M,P,abohetado
abolicionista,A,S
abolicionistas,A,P,abolicionista
abombada,F,S,abombado
abombadas,F,P,abombado
abombado,M,S,abombado
abombados,M,P,abombado
abominable,A,S,abominable
abominables,A,P,abominable
abonable,A,S,abonable
abonables,A,P,abonable
abonada,F,S
abonadas,F,P,abonada
abonado,M,S
abonador,M,S,abonador
abonadora,F,S,abonador
abonadoras,F,P,abonador
abonadores,M,P,abonador
abonados,M,P,abonado
abondada,F,S,abondado
abondadas,F,P,abondado
abondado,M,S,abondado
abondados,M,P,abondado
abondosa,F,S,abondoso
abondosas,F,P,abondoso
abondoso,M,S,abondoso
abondosos,M,P,abondoso
aboquillada,F,S,aboquillado
aboquilladas,F,P,aboquillado
aboquillado,M,S,aboquillado
aboquillados,M,P,aboquillado
aboral,A,S,aboral
aborales,A,P,aboral
abordable,A,S,abordable
abordables,A,P,abordable
abordador,M,S,abordador
abordadora,F,S,abordador
abordadoras,F,P,abordador
abordadores,M,P,abordador
aborigen,A,S
aborlonada,F,S,aborlonado
aborlonadas,F,P,aborlonado
aborlonado,M,S,aborlonado
aborlonados,M,P,aborlonado
aborrachada,F,S,aborrachado
aborrachadas,F,P,aborrachado
